computed tomography and chest,computed tomography and lung,computed tomography and lungs,computed tomography and brain,computed tomography and abdominal,computed tomography and coronal,computed tomography and artery,computed tomography and lobe,computed tomography and tumor,computed tomography and liver
"giant pulmonary hydatid cyst. axial computed tomography of chest (mediastinal window) reveals fluid containing giant cyst measuring 14.4 × 9.3 cm (white arrows) with a thick-enhancing wall (1.29 cm), (red arrow).",,,,,,,,,
,,,,,single coronal image from the mrcp sequence shows an unusual ringlike configuration of the main pancreatic duct (arrow). also note the intrahepatic biliary ductal dilatation due to a central obstructing lesion shown on the computed tomography.,,,,
interstitial pulmonary fibrosis in our patient's computed tomography scan of the chest.,,,,,,,,,
,,,"axial noncontrast computed tomography of the brain revealed an acute, rounded hyperdense lesion in the region of the left thalamus and likely abutting the posterior limb of the internal capsule (white arrow), corresponding to a small acute hemorrhage",,,,,,
,,,,,"coronal ct imaging of a pediatric patient with a left orbital floor greenstick fracture.note: the entrapped inferior rectus located within the maxillary sinus.abbreviation: ct, computed tomography.",,,,
,,,,abdominal computed tomography showed a hepatomegaly and hepatosteatosis.,,,,,
,,,,"computed tomography scan of a 29 year old man with klebsiella pneumoniae liver abscess. abdominal computed tomography scan showing a 10 cm diameter klebsiella related abscess. notice, as a distinctive feature, the hypodense lesion with internal septa and irregular margins.",,,,,
,computed tomography (ct) scan showing an irregular mass in the right lung field. this lesion was initially diagnosed as a cryptogenic organizing pneumonia.,,,,,,,,
,,,,,aspergilloma visible as a soft tissue mass. computed tomography (coronal view) of the maxillary sinus in patient 6 before the first surgical procedure. note the mass containing hyperdense foci that are highly suggestive of aspergilloma (arrow).,,,,
,,,,,case 9: coronal computed tomography showing a well-defined 2 × 1 cm lesion in the left parapharyngeal area extending up to the infratemporal space.,,,,
,,,,sagittal view of abdominal computed tomography (ct) examination of the patient. this abdominal ct scan shows a large retroperitoneal mass displacing the left kidney inferiorly and the spleen superiorly.,,,,,
,,,,,,computed tomography image of a tumor in the pancreatic head which surrounds the superior mesenteric artery (arrow: “unresectable”).,,,
,,,,,coronal computed tomography image showing bilateral elongated styloid process reaching upto hyoid bone,,,,
,,,,"computed tomography revealed the presence of a large soft tissue mass, which occupied the abdominal-pelvic cavity (arrow). the density of the mass was heterogeneous and slightly lower than the density of the liver. certain strip-like lower density images were observed in the mass. the mass boundary was defined. the intestines were gathered at the back of the abdominal cavity. a large segment of the bowel was embedded in the mass.",,,,,
,an axial section of the treatment planning computed tomography scan fused with positron emission tomography. a right upper lobe lung mass can be seen.,,,,,,,,
,,,,,,,,,contrast-enhanced computed tomography of the abdomen and the pelvis in soft tissue window demonstrates multiple heterogeneous hypodense lesions in the liver with peripheral heterogeneous ring enhancement.
"chest computed tomography. there are multiple small nodules along both the interlobar fissures and peribronchial areas in the right lower lobe (yellow cycle) and in the lingular segment of the left upper lobe, suggestive of early parenchymal involvement of the sarcoidosis. there are several small to borderline-enlarged lymph nodes in both the hilar and interlobar nodal areas.",,,,,,,,,
,,,,abdominal computed tomography (ct) scan shows a 4 cm sized low attenuating mass-like lesion in the stomach.,,,,,
case 1. chest computed tomography shows 4-cm sized mediastinal cystic mass adjacent to left side of the esophagus. the mass was suspected to be an esophageal duplication cyst or a bronchogenic cyst.,,,,,,,,,
,,,,,"coronal reconstruction computed tomography at presentation, left c1–c2 facet dislocation.",,,,
,,,,abdominal computed tomography revealing the site of the obstruction.,,,,,
computed tomography shows 2 cm enhancing mass on right side chest wall.,,,,,,,,,
,,,preoperative brain computed tomography (ct) image showing a calcified cystic mass in the pineal gland (a),,,,,,
,,,,,,sagittal computed tomography angiography image of the right groin demonstrates a large pseudoaneurysm (p) communicating with the right superficial femoral artery (sfa) through a pseudoaneurysm neck (n). common femoral artery (cfa). profunda femoris artery (pfa). active bleeding (a).,,,
,,,,,,,,computed tomography scan of the abdomen 4 months after completion of chemotherapy showing complete resolution of the previously noted gastric tumor.,
,,,computed tomography of brain with “open ring sign“ indicated by circle.,,,,,,
,,,,,,,,"ct reveals round homogeneous solitary tumor protruding into the urinary bladder and lobulated enlargement of the uterus consistent with uterine leiomyoma: (a) bladder leiomyoma, (b) bladder, (c) uterine leiomyoma, (d) uterus. ct = computed tomography.",
computed tomography on the seventh day showing intrathoracic presence of bowel (colon transversum) with feces (arrow) and a basal chest tube.,,,,,,,,,
,,,,,pre-operative temporal bone coronal computed tomography images.,,,,
,,,,abdominal computed tomography showing an occupying lesion in the left seminal vesicle.,,,,,
,,,,abdominal computed tomography (ct) showing a hypodense lesion in the right lobe of the liver.,,,,,
,,,,abdominal computed tomography showing a 19mm right adrenal tumor.,,,,,
,,,,,,computed tomography angiograph of the patient showing a small aneurysm proximal to the origin of the left subclavian artery (white arrow),,,
,,,computed tomography of the brain showing right subdural hematoma,,,,,,
,,,,,"angle between the axis and the buccal cortex (premo ax/bucc cort), and angle between the axis and the lingual cortex (premo ax/ling cort). a representative cone-beam computed tomography image of the mandible through the coronal plane is shown.",,,,
,,,,,"computed tomography angiography (coronal view) of the thoracic region displaying tortuosity and dilatation of the azygos vein. 1 azygos vein, 2 hemiazygos vein, 3 aorta",,,,
,,,,(case #3) computed tomography of the abdomen showing right upper quadrant abdominal pseudocyst (arrow),,,,,
"chest ct revealed a 3.7 cm osteolytic change mass lesion with destruction of the right 9th rib, with osteolytic change (arrow). there was no parenchymal disease, mediastinal, hilar, or axillar lymphadenopathy. there was also no other primary lesion evident in the chest ct scan. ct, computed tomography.",,,,,,,,,
,,,,"abdominal computed tomography. a swelling of the pancreas with adjacent f luid collection, suggestive of acute pancreatitis (arrow), was noted.",,,,,
"contrast-enhanced computed tomography of the chest (lung window), showing areas of consolidation (black arrows) in both lungs, suggesting aspiration pneumonia",,,,,,,,,
,,,,,,,"computed tomography demonstrating persistent esophageal leakage of contrast from the lower portion of his esophageal stent with filling of the right lobe bronchus, consistent with a bronchopulmonary fistula.",,
,,,,,"coronal view of computed tomography, revealed a lesion of mixed density in the left zygoma (red arrow)",,,,
,,,,computed tomography of the patient’s abdomen with splenic rupture and evidence of intra-abdominal bleeding,,,,,
,,,,,,,,"contours from the fused computer tomography and magnetic resonance images for case #2. the magnetic resonance tumor volume is in green, the computed tomography tumor volume is in red, the magnetic resonance urethra is in blue, the computed tomography urethra is in yellow.",
,,,,,"scimitar sign. coronal contrast-enhanced computed tomography shows the anomalous drainage of the right pulmonary vein into the inferior vena cava, representing the scimitar sign on conventional radiography.",,,,
,,,,abdominal computed tomography scan showing enlargement of the pancreatic head (arrows) indicative of a tumor either in the pancreatic head or in the periampullary region. d = duodenum.,,,,,
,,,,,,,,"axial computed tomography showing a low attenuating right adrenal mass, which proved to be an adrenal collision tumor on pathology.",
chest computed tomography (ct) examination of the patient. this chest ct showed pleural effusion on the right pulmonary base.,,,,,,,,,
,,,,,computed tomography of the neck-coronal. bulky left thyroid gland lobe displacing the branching arteries of the aortic arch and deviating the trachea to the right.,,,,
,,,,,,computed tomography angiography showing the medial clavicle (c) compressing the subclavian artery (s) with significantly reduced volume (arrow),,,
"computed tomography of the chest, sixth postoperative day.",,,,,,,,,
"chest computed tomography revealed a 2.7×2.3 cm-sized well-defined lobulated mass in the superior segment of the left lower lobe, abutting on the parietal pleura.",,,,,,,,,
