mri + t1-weighted,mri + t2-weighted,mri,x-ray,computed tomography
,,,chest x-ray showing enlarged pulmonary vessels along with evidence of pulmonary overflow,a computed tomography cross section of skull showing the diffuse osteolytic defect sites in the right half of mandible.
,,,a chest x-ray taken on admission. diffuse infiltrative shadows can be observed in both lung fields.,"on april 7th 2013, the chest computed tomography scan revealed the left lower lung with patchy inflammation."
,,,initial chest x-ray image of the chest.,computed tomography of the abdomen and pelvis (large peri-aortic hematoma [red] with abdominal aortic aneurysm [white].
,,,x-ray paranasal sinus showing maxillary sinusitis and bilateral hypoplastic frontal sinuses,axial contrast-enhanced computed tomographyimage shows a well-defined hyperdense lesion (arrow) having a broad area of contact with the distal pancreatic body and tail. fine needle aspiration cytologyof the lesion led to a diagnosis of lymphatic malformation
,,,pelvic x-ray showing a right ischio pubic rami fracture.,a three-dimensional 3-d chest computed tomography scan on the 17th post-operative day shows an intact large airway
,,,wrist pa x-ray at 20 months suggesting scaphoid fracture union,"contrast-enhanced computed tomography revealed a bilobulated, enhancing cystic mass in the pelvic cavity."
,,,chest x-ray shows almost complete opacification with a large right pleural effusion and consolidated right lower lobe,brain computed tomography (ct) scan shows infarction in right occipital lobe
,,,x-ray (lateral view),liver injury with intraperitoneal contrast extravasation visible on computed tomography scan.
,,,postoperative day 7 chest x-ray. no evidence of left sided air leak or residual left main bronchus rupture.,preoperative computed tomography scan. loculated fluid collections protruded into the left lateral chest wall and posterior back (12.8 cm×8.0 cm).
,,,chest x-ray shows the improvement of left-sided inguinal hernia after the operation (1-month after the operation).,computed tomography (ct) scan showing junction between hydronephrotic right moiety and normal isthmus
,,,preoperative x-rays,"computed tomography scan of the metastatic tumor. the computed tomography scan shows a 6.5×6.0-cm mass compressing the gastric antrum and body, suggestive of a metastatic node of the omentum."
,,,lateral chest x-ray showing a shadow ventrally of the vertebra in the posterior mediastinum. insertion shows a barium swallow with a large tubular intraluminal mass in the proximal esophagus.,axial computed tomography (ct) of evaluation showed a near complete response in the nasal cavity
,,,plain abdominal x-ray showing small bowel obstruction with dilated large bowel in the left upper quadrant.,coronary computed tomography angiogram showing a calcified nonobstructive plaque in the proximal left anterior descending coronary artery.
,,,chest x-ray on representation demonstrating pyopneumothorax.,tree-in-buds of bronchiolitis obliterans in a 28-year-old woman. bronchiolitis obliterans was diagnosed on spirometry and transbronchial lung biopsy 16 months after bone marrow transplantation for chronic myelocytic leukemia. inspiratory high resolution computed tomography scan shows decreased lung attenuation and subsegmental bronchial dilatations in left lower lobe. tree-in-bud pattern is noted in subpleural portion of posterior basal segment of left lower lobe (arrow).
,,,x-ray of patient taken after extubation,foreign body on computed tomography scan. the arrow highlights the contrast-enhancing abscess cavity next to a calcified foreign body.
,,,the first x-ray graphy in the emergency service after left tube thoracostomy. mediastinum was enlarged in chest roentgenograms.,coronal computed tomography demonstrating aortoiliac vascular occlusion.
,,,x-ray of the pelvis showed multiple permeative lesions involving the pelvic bones and the visualised proximal femurs.,abdomen computed tomography. there are diffuse bowel wall thickenings in the terminal ileum.
,,,supine abdominal x-ray showing dilated jejunal loop on the left side.,non-enhanced computed tomography of the pelvis. black arrow shows the left hip joint with free-lying dense objects within. the arrowhead points to the site of bladder wall impingement.
,,,x-ray lateral view,"computed tomography of the chest showing numerous cavitary pulmonary nodules located peripherally, representing septic pulmonary emboli in the right lung"
,,,measurement of scanned analog x-ray.,chest computed tomography after prednisone treatment of 20mg/day. chest computed tomography showing improvement of patchy ground-glass opacities in the bilateral lung.
,,,"case 3: x-ray of the pathological fracture, within extensive ostelytic lesion of right proximal humerus (arrow)",delayed postoperative sagittal computed tomography showing fusion at t8–t9.
,,,"plain abdominal x-ray. at 7 days after the previous barium radiography, residual barium remained mainly in the stomach and duodenal bulb (arrows).",computed tomography scan of the lesion
,,,x-ray of the pelvis showing no positive findings.,"on enhanced chest computed tomography (ct), a consolidated patch with central necrosis over the lower left lung (white arrow)"
,,,postoperative x-rays according to merchant view at 45° of flexion with quadriceps tension. (1) patellofemoral angle. (2) congruence angle. (3) sulcus angle.,"axial chest computed tomography showing an ascending aorta dilation (45.7 mm). this incidental finding was not mentioned in the original report. arrows indicate a thoracic aorta atherosclerosis that, conversely, was mentioned in the original report."
,,,this figure shows the first chest x-ray (immediately after the admission in the intensive care unit).,"postoperative thoraco-abdominal computed tomography showed a large mass having 60 hounsfield units (arrow), which was inconclusive because of ambiguous value of hounsfield unit."
,,,five-year old boy with a crush injury extending from his shoulder to the distal part of his left arm. x-ray shows proper reduction (arrow a) and intramedullary fixation (arrow b) of the humeral diaphysis.,computed tomography scan in sagittal plane identifying discrete area of contrast enhancement of soft tissue in the nasal dorsum.
,,,x-ray chest showing right sided pleural effussion,"immediate postoperative sagittal ct angiographic image demonstrating patency across the va injury repair site. ct, computed tomography; va, vertebral artery."
,,,postoperative x-ray 6 months after surgery.,contrast-enhanced computed tomography image of the abdomen showing duplication cyst
,,,"sella turcica x-ray(lateral view). legend: no evidence of mass lesion seen, symmetric floor with no erosion or `double floor` sign.",computed tomography scan cervical spine of the same patient performed after reduction.
